,Unnamed: 0,label,area,mean_intensity_nuf2_CFP,fname_nuf2_CFP,nuf2_CFP_cyto,nuf2_CFP_bg,mean_intensity_YFP_pp1,fname_YFP_pp1,YFP_pp1_cyto,YFP_pp1_bg,YFP_pp1@kt/YFP_pp1@cyto,nuf2_CFP@kt/nuf2_CFP@cyto,YFP_pp1@kt/YFP_pp1@cyto:nuf2_CFP@kt/nuf2_CFP@cyto,condition,cell,Experiment
20,20,1_13,12,6041.75,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z01_C0_T0.tif,4859.953736244743,4313.74,6328.916666666668,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z01_C1_T0.tif,5823.941192067027,3732.185,1.0867068292666628,1.2431702703138126,0.8741415839942394,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
21,21,1_14,5,6239.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z01_C0_T0.tif,4859.953736244743,4313.74,6063.4,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z01_C1_T0.tif,5823.941192067027,3732.185,1.041116281919046,1.2837570764245254,0.8109916595893096,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
22,22,1_15,5,5771.8,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z01_C0_T0.tif,4859.953736244743,4313.74,5959.4,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z01_C1_T0.tif,5823.941192067027,3732.185,1.0232589587472973,1.187624474067491,0.8616014414411158,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
23,23,2_1,8,6297.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,5875.5,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.015526355431629,1.2811178590117422,0.792687689339534,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
24,24,2_2,5,6120.4,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,5480.4,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,0.947236939546847,1.2451887794656928,0.76071753549956,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
25,25,2_3,12,5928.333333333332,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6105.5,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.0552797486320842,1.2061130232663084,0.8749426697791983,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
26,26,2_4,10,6353.4,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6369.4,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.1008924463086065,1.2925923781872644,0.8516934378434922,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
27,27,2_5,8,6800.375,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6274.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.084511455697419,1.3835289598978842,0.7838733319882691,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
28,28,2_6,8,6012.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6212.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.0737305083022957,1.2231857785998648,0.8778147417078009,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
29,29,2_7,8,6442.875,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C0_T0.tif,4915.2386376515915,4332.0425,6207.75,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D_Z02_C1_T0.tif,5785.669636808921,3800.07,1.0729527245222867,1.3107959704431125,0.8185505209934211,dmso,set2_pp1_dmso_cell_2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point6_11min01_R3D_D3D
