,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
57,2_22,34.0,28144.264705882353,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22191.91176470588,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
60,2_25,5.0,17676.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,20205.4,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
61,3_1,8.0,14842.25,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z03_C1_T0.tif,17052.436831856296,4782.9025,16790.125,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z03_C0_T0.tif,15916.454317548747,9127.825
62,3_2,24.0,23243.708333333332,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z03_C1_T0.tif,17052.436831856296,4782.9025,19076.833333333332,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z03_C0_T0.tif,15916.454317548747,9127.825
63,3_3,5.0,19679.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z03_C1_T0.tif,17052.436831856296,4782.9025,18421.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z03_C0_T0.tif,15916.454317548747,9127.825
86,3_26,5.0,40516.4,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z03_C1_T0.tif,17052.436831856296,4782.9025,19359.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z03_C0_T0.tif,15916.454317548747,9127.825
94,4_1,5.0,22994.2,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,18659.8,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
95,4_2,35.0,20227.628571428573,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19034.17142857143,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
96,4_3,39.0,30945.76923076923,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19195.69230769231,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
97,4_4,5.0,27168.4,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,15922.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
98,4_5,46.0,28225.347826086956,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,21343.739130434784,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
99,4_6,34.0,24841.382352941175,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,20475.970588235294,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
100,4_7,31.0,31756.709677419356,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19469.58064516129,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
101,4_8,33.0,31362.121212121212,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,20091.363636363636,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
102,4_9,11.0,23276.272727272728,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,20076.363636363636,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
103,4_10,32.0,34213.40625,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,20799.9375,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
104,4_11,5.0,31045.2,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,18755.8,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
105,4_12,5.0,33939.4,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,18738.8,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
106,4_13,8.0,25013.375,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19170.125,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
107,4_14,8.0,37782.625,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19231.625,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
108,4_15,8.0,29871.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19116.125,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
110,4_17,5.0,40021.2,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,20325.2,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
111,4_18,10.0,36274.7,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19921.9,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
112,4_19,73.0,30933.72602739726,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,20205.986301369863,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
114,4_21,24.0,32025.541666666668,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,19781.5,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
115,4_22,5.0,13842.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,16025.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
116,4_23,5.0,15116.8,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,15799.2,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
117,4_24,8.0,26982.875,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,18518.25,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
118,4_25,26.0,31501.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z04_C1_T0.tif,17131.699492303975,4796.21,18865.19230769231,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z04_C0_T0.tif,15242.812336708033,8811.53
