,Unnamed: 0,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
20,20,1_3,5,33386.2,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,36866.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,0.805277252708465,0.9497245021628798,0.8479061568639599,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
21,21,1_4,8,27565.125,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,36541.125,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,0.7981808916312213,0.7841346010532063,1.0179131115488957,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
22,22,1_5,16,38522.9375,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,53111.375,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,1.1601308020281302,1.0958473153290653,1.0586609884423193,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
23,23,1_6,8,39658.625,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,43760.25,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,0.9558708267193512,1.1281537846352487,0.8472877011429789,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
24,24,1_7,17,30932.411764705877,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,46486.41176470588,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,1.0154193553452182,0.8799225237952357,1.1539872294273872,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
25,25,1_8,16,40095.5625,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,51274.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,1.1199963612915378,1.1405831791055328,0.9819506212338327,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
26,26,1_9,13,37868.15384615384,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,42584.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,0.9301775763396428,1.0772209343790489,0.8634974930893193,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
27,27,1_10,5,38131.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,56221.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,1.2280641928992484,1.0846980187015225,1.1321715092365963,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
28,28,1_11,30,35395.26666666667,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,49130.5,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,1.0731751224486854,1.0068756556278458,1.0658467273990233,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
29,29,1_12,12,31950.66666666667,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,44770.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,0.9779271579167248,0.9088884327588083,1.075959515678243,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
