,Unnamed: 0,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,GFP_ska@kt/GFP_ska@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:GFP_ska@kt/GFP_ska@cyto,condition,cell,Experiment
20,20,3_7,5.0,3943.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,19666.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,1.3025873979943845,0.9667869906840013,1.3473364976423654,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
21,21,3_8,10.0,3984.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,18782.9,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,1.2440442185708263,0.9770359625862564,1.2732839590446472,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
22,22,3_9,25.0,3285.04,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,16664.84,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,1.1037591562223004,0.8054613076024782,1.3703441069164826,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
23,23,4_1,70.0,3133.7714285714287,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,12345.728571428572,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,0.8244558298182662,0.7789746015044438,1.0583860221193142,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
24,24,4_2,8.0,4111.75,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,14249.5,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,0.9515909311487454,1.0220748037121532,0.9310384403299915,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
26,26,4_4,20.0,4427.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,18650.15,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,1.2454692167840116,1.1005869522504845,1.1316409069154156,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
27,27,4_5,48.0,4147.645833333333,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,20044.041666666668,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,1.3385542140824298,1.030997580342116,1.2983097531987002,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
28,28,4_6,5.0,3471.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,17149.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,1.1452214378237717,0.8628506253166233,1.3272534135367084,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
29,29,4_7,10.0,4404.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,18101.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,1.208836688956253,1.0947206020668383,1.104242202689858,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
30,30,4_8,5.0,3551.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C1_T0.tif,4022.94429435714,3292.2325,17460.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z04_C0_T0.tif,14974.39659581269,7210.8,1.1660436457842038,0.8826868433104774,1.321016229732177,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
