label,area,min_intensity_particle,max_intensity_particle,mean_intensity_particle,fname_particle,particle_cyto,particle_bg,min_intensity_mask,max_intensity_mask,mean_intensity_mask,fname_mask,mask_cyto,mask_bg,Particle Intensity * Area,mask@kt/mask@cyto,particle@kt/particle@cyto,mask@kt/mask@cyto:particle@kt/particle@cyto,condition
2_3,37.0,30.0,2380.0,1077.7837837837837,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,175.0,1581.0,746.4864864864865,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,39878.0,2.333123617153778,1.5565414941131168,1.4989151435909138,Control
2_4,48.0,110.0,4456.0,1808.1458333333333,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,150.0,2603.0,844.2291666666666,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,86791.0,2.6386157588878336,2.6113345360517006,1.0104472339562367,Control
2_5,17.0,56.0,1366.0,630.4705882352941,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,169.0,1211.0,672.5882352941177,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,10718.0,2.102156602687403,0.9105292231813832,2.308719532737765,Control
2_6,13.0,115.0,1163.0,611.3076923076923,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,334.0,1334.0,755.7692307692307,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,7946.999999999999,2.3621365869933357,0.8828540594727896,2.6755685853717694,Control
2_7,47.0,85.0,3319.0,1473.2340425531916,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,173.0,2138.0,828.8297872340426,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,69242.0,2.590485408916096,2.127653015638696,1.2175318954150345,Control
2_9,10.0,43.0,1853.0,826.2,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,247.0,1103.0,740.3,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,8262.0,2.3137879185308057,1.1932027571628847,1.9391406067753072,Control
2_10,14.0,29.0,693.0,302.92857142857144,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,226.0,1316.0,687.0714285714286,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,4241.0,2.147423437250132,0.4374911724182829,4.908495468331398,Control
2_11,42.0,27.0,2940.0,1223.1666666666667,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,214.0,2003.0,945.1666666666666,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,51373.0,2.95409322481611,1.7665042836315685,1.6722819481326723,Control
2_12,5.0,1628.0,1851.0,1726.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,582.0,1094.0,887.4,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,8634.0,2.773545047824175,2.4938544191102268,1.112151947030548,Control
2_13,14.0,68.0,1001.0,474.7142857142857,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,211.0,1173.0,611.1428571428571,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,6646.0,1.9101107110003255,0.685585081794838,2.786103084389937,Control
